TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
-1,2.0,2.0,6.0,3.0,-1,0
4,6.0,2.0,6.0,3.0,1,0
6,6.0,4.0,7.0,6.0,2,1
9,3.0,4.0,7.0,6.0,1,1
12,3.0,7.0,7.0,6.0,3,1
15,6.0,7.0,7.0,6.0,0,1
18,6.0,4.0,7.0,6.0,2,1
20,4.0,4.0,7.0,6.0,1,1
22,4.0,6.0,7.0,6.0,3,1
25,7.0,6.0,5.0,2.0,0,2
27,7.0,4.0,5.0,2.0,2,2
30,4.0,4.0,5.0,2.0,0,2
31,4.0,3.0,5.0,2.0,3,2
35,8.0,3.0,5.0,2.0,1,2
37,8.0,5.0,5.0,2.0,2,2
39,6.0,5.0,5.0,2.0,0,2
40,6.0,4.0,5.0,2.0,3,2
43,9.0,4.0,5.0,2.0,-1,2
-1,2.0,2.0,1.0,4.0,-1,0
0,2.0,2.0,1.0,4.0,1,0
5,2.0,7.0,1.0,4.0,3,0
12,9.0,7.0,1.0,4.0,-1,0
-1,2.0,2.0,1.0,7.0,-1,0
7,9.0,2.0,1.0,7.0,-1,0
-1,2.0,2.0,4.0,1.0,-1,0
4,6.0,2.0,4.0,1.0,1,0
7,6.0,5.0,4.0,1.0,2,0
9,4.0,5.0,4.0,1.0,0,0
13,4.0,1.0,7.0,2.0,3,1
16,7.0,1.0,7.0,2.0,1,1
19,7.0,4.0,2.0,2.0,2,2
24,2.0,4.0,2.0,2.0,0,2
26,2.0,2.0,1.0,6.0,3,3
30,6.0,2.0,1.0,6.0,1,3
34,6.0,6.0,1.0,6.0,2,3
38,2.0,6.0,1.0,6.0,1,3
41,2.0,9.0,1.0,6.0,-1,3
-1,2.0,2.0,6.0,2.0,-1,0
6,8.0,2.0,1.0,4.0,1,1
13,8.0,9.0,1.0,4.0,-1,1
