TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
-1,2.0,2.0,8.0,2.0,-1,0
7,9.0,2.0,1.0,8.0,-1,1
-1,2.0,2.0,3.0,8.0,-1,0
3,5.0,2.0,3.0,8.0,1,0
10,5.0,9.0,3.0,8.0,-1,0
-1,2.0,2.0,3.0,3.0,-1,0
7,9.0,2.0,3.0,3.0,-1,0
-1,2.0,2.0,7.0,2.0,-1,0
7,9.0,2.0,8.0,1.0,-1,1
-1,2.0,2.0,2.0,4.0,-1,0
0,2.0,2.0,2.0,4.0,0,0
2,2.0,0.0,2.0,4.0,-1,0
-1,2.0,2.0,8.0,7.0,-1,0
7,9.0,2.0,8.0,7.0,-1,0
-1,2.0,2.0,6.0,2.0,-1,0
7,2.0,9.0,6.0,2.0,-1,0
-1,2.0,2.0,5.0,6.0,-1,0
7,9.0,2.0,5.0,6.0,-1,0
-1,2.0,2.0,8.0,5.0,-1,0
2,4.0,2.0,8.0,5.0,0,0
4,4.0,0.0,8.0,5.0,-1,0
-1,2.0,2.0,3.0,5.0,-1,0
